fy,abbr,state,County,County 2,"County, State",Local Board,type,count,avgWage,MedianWageByCounty
FY 2024,SD,South Dakota,Haakon County,Haakon,"Haakon, SD",,Active Apprentices,1,12,12
FY 2024,ME,Maine,Cumberland County,Cumberland,"Cumberland, ME",,Active Apprentices,471,21.53456476,18.27
FY 2024,ME,Maine,Androscoggin County,Androscoggin,"Androscoggin, ME",,Active Apprentices,271,18.98612546,19.28
FY 2024,ME,Maine,Penobscot County,Penobscot,"Penobscot, ME",,Active Apprentices,189,18.75542484,18.65
FY 2024,ME,Maine,Kennebec County,Kennebec,"Kennebec, ME",,Active Apprentices,164,20.74440994,20
FY 2024,ME,Maine,Sagadahoc County,Sagadahoc,"Sagadahoc, ME",,Active Apprentices,110,24.44272727,24.5
FY 2024,ME,Maine,Somerset County,Somerset,"Somerset, ME",,Active Apprentices,92,21.89340659,22
FY 2024,ME,Maine,Washington County,Washington,"Washington, ME",,Active Apprentices,31,16.12935484,16.54
FY 2024,ME,Maine,York County,York,"York, ME",,Active Apprentices,30,17.75633333,16
FY 2024,ME,Maine,Aroostook County,Aroostook,"Aroostook, ME",,Active Apprentices,7,16.5,15.5
FY 2024,ME,Maine,Hancock County,Hancock,"Hancock, ME",,Active Apprentices,4,16.5,15.5
FY 2024,ME,Maine,Oxford County,Oxford,"Oxford, ME",,Active Apprentices,3,16.33333333,17
FY 2024,ME,Maine,Franklin County,Franklin,"Franklin, ME",,Active Apprentices,3,17.5,17
FY 2024,ME,Maine,Waldo County,Waldo,"Waldo, ME",,Active Apprentices,1,17.25,17.25
FY 2024,ME,Maine,Lincoln County,Lincoln,"Lincoln, ME",,Active Apprentices,1,13.8,13.8
FY 2024,ME,Maine,Knox County,Knox,"Knox, ME",,Active Apprentices,1,20,20
FY 2024,PR,Puerto Rico,Juana Díaz Municipio,Juana Díaz Municipio,"Juana Díaz Municipio, PR",,Active Apprentices,226,11.89730088,11.17
FY 2024,PR,Puerto Rico,San Juan Municipio,San Juan Municipio,"San Juan Municipio, PR",,Active Apprentices,204,22.58544118,23.32
FY 2024,PR,Puerto Rico,Arecibo Municipio,Arecibo Municipio,"Arecibo Municipio, PR",,Active Apprentices,185,9.5,9.5
FY 2024,PR,Puerto Rico,Caguas Municipio,Caguas Municipio,"Caguas Municipio, PR",,Active Apprentices,148,13.98648649,13
FY 2024,PR,Puerto Rico,Cayey Municipio,Cayey Municipio,"Cayey Municipio, PR",,Active Apprentices,65,16.60723077,16.17
FY 2024,PR,Puerto Rico,Mayagüez Municipio,Mayagüez Municipio,"Mayagüez Municipio, PR",,Active Apprentices,50,10.615,10.5
FY 2024,PR,Puerto Rico,Dorado Municipio,Dorado Municipio,"Dorado Municipio, PR",,Active Apprentices,38,16.68236842,14.68
FY 2024,PR,Puerto Rico,Añasco Municipio,Añasco Municipio,"Añasco Municipio, PR",,Active Apprentices,37,10.09756757,9.5
FY 2024,PR,Puerto Rico,Vega Baja Municipio,Vega Baja Municipio,"Vega Baja Municipio, PR",,Active Apprentices,26,10.5,10.5
FY 2024,PR,Puerto Rico,Fajardo Municipio,Fajardo Municipio,"Fajardo Municipio, PR",,Active Apprentices,20,12.966,12
FY 2024,PR,Puerto Rico,Barceloneta Municipio,Barceloneta Municipio,"Barceloneta Municipio, PR",,Active Apprentices,20,10.63,10.63
FY 2024,PR,Puerto Rico,Carolina Municipio,Carolina Municipio,"Carolina Municipio, PR",,Active Apprentices,18,9.875,10
FY 2024,PR,Puerto Rico,Gurabo Municipio,Gurabo Municipio,"Gurabo Municipio, PR",,Active Apprentices,14,10.91071429,10.15
FY 2024,PR,Puerto Rico,Bayamón Municipio,Bayamón Municipio,"Bayamón Municipio, PR",,Active Apprentices,11,11.36363636,10.5
FY 2024,PR,Puerto Rico,Orocovis Municipio,Orocovis Municipio,"Orocovis Municipio, PR",,Active Apprentices,10,15.9,15
FY 2024,PR,Puerto Rico,Camuy Municipio,Camuy Municipio,"Camuy Municipio, PR",,Active Apprentices,8,15,15
FY 2024,PR,Puerto Rico,Florida Municipio,Florida Municipio,"Florida Municipio, PR",,Active Apprentices,7,10.5,10.5
FY 2024,PR,Puerto Rico,Aguadilla Municipio,Aguadilla Municipio,"Aguadilla Municipio, PR",,Active Apprentices,5,11.5,11.5
FY 2024,PR,Puerto Rico,Toa Alta Municipio,Toa Alta Municipio,"Toa Alta Municipio, PR",,Active Apprentices,2,10.5,10.5
FY 2024,Not Specified,Not Specified,Not Specified County,Not Specified,"Not Specified, Not Specified",,Active Apprentices,977,19.19110122,17
FY 2024,GU,Guam,Guam County,Guam,"Guam, GU",,Active Apprentices,700,13.62158779,13.775
FY 2024,WY,Wyoming,Natrona County,Natrona,"Natrona, WY",,Active Apprentices,165,18.68054545,18
FY 2024,WY,Wyoming,Laramie County,Laramie,"Laramie, WY",,Active Apprentices,145,25.47537931,21.56
FY 2024,WY,Wyoming,Fremont County,Fremont,"Fremont, WY",,Active Apprentices,35,18.48771429,16.5
FY 2024,WY,Wyoming,Converse County,Converse,"Converse, WY",,Active Apprentices,31,22.70870968,23.46
FY 2024,WY,Wyoming,Campbell County,Campbell,"Campbell, WY",,Active Apprentices,21,24.06761905,21
FY 2024,WY,Wyoming,Park County,Park,"Park, WY",,Active Apprentices,19,17.12526316,16
FY 2024,WY,Wyoming,Albany County,Albany,"Albany, WY",,Active Apprentices,18,22.62444444,18.5
FY 2024,WY,Wyoming,Sheridan County,Sheridan,"Sheridan, WY",,Active Apprentices,14,15.30357143,12
FY 2024,WY,Wyoming,Teton County,Teton,"Teton, WY",,Active Apprentices,13,24.19923077,23.5
FY 2024,WY,Wyoming,Lincoln County,Lincoln,"Lincoln, WY",,Active Apprentices,10,33.579,34.32
FY 2024,WY,Wyoming,Hot Springs County,Hot Springs,"Hot Springs, WY",,Active Apprentices,7,16.42857143,15
FY 2024,WY,Wyoming,Sweetwater County,Sweetwater,"Sweetwater, WY",,Active Apprentices,6,16,14
FY 2024,WY,Wyoming,Platte County,Platte,"Platte, WY",,Active Apprentices,6,30.13333333,29.07
FY 2024,WY,Wyoming,Niobrara County,Niobrara,"Niobrara, WY",,Active Apprentices,4,26.1625,26.675
FY 2024,WY,Wyoming,Washakie County,Washakie,"Washakie, WY",,Active Apprentices,3,14.83333333,14.5
FY 2024,WY,Wyoming,Crook County,Crook,"Crook, WY",,Active Apprentices,3,45.53333333,41.95
FY 2024,WY,Wyoming,Goshen County,Goshen,"Goshen, WY",,Active Apprentices,2,26.25,26.25
FY 2024,WY,Wyoming,Uinta County,Uinta,"Uinta, WY",,Active Apprentices,1,24.9,24.9
FY 2024,WY,Wyoming,Carbon County,Carbon,"Carbon, WY",,Active Apprentices,1,25,25
FY 2024,WY,Wyoming,Big Horn County,Big Horn,"Big Horn, WY",,Active Apprentices,1,32.06,32.06
FY 2024,AS,American Samoa,Western County,Western,"Western, AS",,Active Apprentices,133,7.25,7.25
FY 2024,VI,US Virgin Islands,St. Croix,St. Croix,"St. Croix, VI",,Active Apprentices,59,16.26271186,18
FY 2024,VI,US Virgin Islands,St. Thomas,St. Thomas,"St. Thomas, VI",,Active Apprentices,11,16.40909091,15
FY 2024,MP,Northern Mariana Islands,Saipan County,Saipan,"Saipan, MP",,Active Apprentices,30,11.80533333,10.25
FY 2024,USMAP,United Services Military Apprenticeship Program,,,", USMAP",,New Apprentices,63653,-,-
FY 2024,CA,California,Los Angeles County,Los Angeles,"Los Angeles, CA",,New Apprentices,6324,24.4813289,23.44
FY 2024,CA,California,San Bernardino County,San Bernardino,"San Bernardino, CA",,New Apprentices,4974,23.90603223,20.8
FY 2024,CA,California,Alameda County,Alameda,"Alameda, CA",,New Apprentices,3567,28.70659227,27.85
FY 2024,CA,California,Contra Costa County,Contra Costa,"Contra Costa, CA",,New Apprentices,3194,24.99371008,23.56
FY 2024,CA,California,San Diego County,San Diego,"San Diego, CA",,New Apprentices,2866,22.57545262,21.03
FY 2024,CA,California,Sacramento County,Sacramento,"Sacramento, CA",,New Apprentices,2746,20.80719114,16.04
FY 2024,CA,California,Orange County,Orange,"Orange, CA",,New Apprentices,1122,20.21957219,19.9
FY 2024,CA,California,San Francisco County,San Francisco,"San Francisco, CA",,New Apprentices,651,25.37259601,20.09
FY 2024,CA,California,Riverside County,Riverside,"Riverside, CA",,New Apprentices,377,25.79005305,26
FY 2024,CA,California,Solano County,Solano,"Solano, CA",,New Apprentices,373,24.60227882,23.73
FY 2024,CA,California,San Joaquin County,San Joaquin,"San Joaquin, CA",,New Apprentices,330,19.08363636,16
FY 2024,CA,California,Santa Clara County,Santa Clara,"Santa Clara, CA",,New Apprentices,323,29.03160991,27.87
FY 2024,CA,California,Fresno County,Fresno,"Fresno, CA",,New Apprentices,199,22.30963918,21.26
FY 2024,CA,California,Kern County,Kern,"Kern, CA",,New Apprentices,186,25.11698925,24.14
FY 2024,CA,California,Ventura County,Ventura,"Ventura, CA",,New Apprentices,113,22.25539823,19.84
FY 2024,CA,California,San Mateo County,San Mateo,"San Mateo, CA",,New Apprentices,95,31.62831579,31.76
FY 2024,CA,California,Stanislaus County,Stanislaus,"Stanislaus, CA",,New Apprentices,68,26.17426471,24.32
FY 2024,CA,California,Santa Barbara County,Santa Barbara,"Santa Barbara, CA",,New Apprentices,47,24.9652,21.66
FY 2024,CA,California,Monterey County,Monterey,"Monterey, CA",,New Apprentices,44,25.63590909,26.67
FY 2024,CA,California,San Luis Obispo County,San Luis Obispo,"San Luis Obispo, CA",,New Apprentices,40,24.32526316,24.08
FY 2024,CA,California,Sonoma County,Sonoma,"Sonoma, CA",,New Apprentices,39,26.79666667,24.47
FY 2024,CA,California,Marin County,Marin,"Marin, CA",,New Apprentices,35,28.72571429,30.23
FY 2024,CA,California,Yolo County,Yolo,"Yolo, CA",,New Apprentices,33,30.20363636,29.73
FY 2024,CA,California,Napa County,Napa,"Napa, CA",,New Apprentices,32,27.0153125,26.58
FY 2024,CA,California,Yuba County,Yuba,"Yuba, CA",,New Apprentices,28,23.53785714,21.6
FY 2024,CA,California,Merced County,Merced,"Merced, CA",,New Apprentices,20,15,15
FY 2024,CA,California,Sutter County,Sutter,"Sutter, CA",,New Apprentices,18,15,15
FY 2024,CA,California,Tulare County,Tulare,"Tulare, CA",,New Apprentices,16,20.75,21
FY 2024,CA,California,Kings County,Kings,"Kings, CA",,New Apprentices,6,22.48333333,17
FY 2024,CA,California,Imperial County,Imperial,"Imperial, CA",,New Apprentices,4,15,15
FY 2024,CA,California,Butte County,Butte,"Butte, CA",,New Apprentices,3,16,16
FY 2024,CA,California,Tuolumne County,Tuolumne,"Tuolumne, CA",,New Apprentices,2,15,15
FY 2024,CA,California,Shasta County,Shasta,"Shasta, CA",,New Apprentices,2,29.87,29.87
FY 2024,CA,California,Nevada County,Nevada,"Nevada, CA",,New Apprentices,2,47.15,47.15
FY 2024,MO,Missouri,Cole County,Cole,"Cole, MO",,New Apprentices,4147,18.45284012,20.65
FY 2024,MO,Missouri,St. Louis County,St. Louis,"St. Louis, MO",,New Apprentices,2841,20.43004653,19.8
FY 2024,MO,Missouri,Jackson County,Jackson,"Jackson, MO",,New Apprentices,1981,22.77640586,21.64
FY 2024,MO,Missouri,Greene County,Greene,"Greene, MO",,New Apprentices,1730,18.83271226,16.91
FY 2024,MO,Missouri,St. Louis City,St. Louis City,"St. Louis City, MO",,New Apprentices,1167,22.49920308,22.91
FY 2024,MO,Missouri,Clay County,Clay,"Clay, MO",,New Apprentices,577,23.06109185,22.76
FY 2024,MO,Missouri,Montgomery County,Montgomery,"Montgomery, MO",,New Apprentices,253,23.14324111,25.19
FY 2024,MO,Missouri,St. Charles County,St. Charles,"St. Charles, MO",,New Apprentices,216,21.42013889,17
FY 2024,MO,Missouri,Boone County,Boone,"Boone, MO",,New Apprentices,140,22.17821429,22.5
FY 2024,MO,Missouri,Franklin County,Franklin,"Franklin, MO",,New Apprentices,124,18.36806452,18
FY 2024,MO,Missouri,Buchanan County,Buchanan,"Buchanan, MO",,New Apprentices,107,18.4582243,17.82
FY 2024,MO,Missouri,Jasper County,Jasper,"Jasper, MO",,New Apprentices,103,17.0868932,18.96
FY 2024,MO,Missouri,Cape Girardeau County,Cape Girardeau,"Cape Girardeau, MO",,New Apprentices,101,19.0490099,18
FY 2024,MO,Missouri,Howard County,Howard,"Howard, MO",,New Apprentices,93,13,13
FY 2024,MO,Missouri,Lincoln County,Lincoln,"Lincoln, MO",,New Apprentices,86,21.64767442,22.55
FY 2024,MO,Missouri,Platte County,Platte,"Platte, MO",,New Apprentices,72,26.89680556,29.18
FY 2024,MO,Missouri,Callaway County,Callaway,"Callaway, MO",,New Apprentices,50,21.261,19.7
FY 2024,MO,Missouri,Newton County,Newton,"Newton, MO",,New Apprentices,34,15.53352941,15.025
FY 2024,MO,Missouri,St. Francois County,St. Francois,"St. Francois, MO",,New Apprentices,32,19.9334375,24.33
FY 2024,MO,Missouri,Randolph County,Randolph,"Randolph, MO",,New Apprentices,27,21.31666667,20.96
FY 2024,MO,Missouri,Barton County,Barton,"Barton, MO",,New Apprentices,27,19.31481481,18.75
FY 2024,MO,Missouri,Webster County,Webster,"Webster, MO",,New Apprentices,24,12.96,12.98
FY 2024,MO,Missouri,Scott County,Scott,"Scott, MO",,New Apprentices,24,13.59166667,12.3
FY 2024,MO,Missouri,Polk County,Polk,"Polk, MO",,New Apprentices,23,18.31,20
FY 2024,MO,Missouri,Jefferson County,Jefferson,"Jefferson, MO",,New Apprentices,23,20.03869565,14
FY 2024,MO,Missouri,Marion County,Marion,"Marion, MO",,New Apprentices,22,19.27272727,22
FY 2024,MO,Missouri,Moniteau County,Moniteau,"Moniteau, MO",,New Apprentices,15,33.2,34
FY 2024,MO,Missouri,Phelps County,Phelps,"Phelps, MO",,New Apprentices,13,13.57692308,12.5
FY 2024,MO,Missouri,Saline County,Saline,"Saline, MO",,New Apprentices,10,17,17
FY 2024,MO,Missouri,Lewis County,Lewis,"Lewis, MO",,New Apprentices,10,13.07,12.3
FY 2024,MO,Missouri,Butler County,Butler,"Butler, MO",,New Apprentices,7,15.18857143,15
FY 2024,MO,Missouri,Ste. Genevieve County,Ste. Genevieve,"Ste. Genevieve, MO",,New Apprentices,6,18.34833333,16.21
FY 2024,MO,Missouri,Pettis County,Pettis,"Pettis, MO",,New Apprentices,6,18.54,20
FY 2024,MO,Missouri,New Madrid County,New Madrid,"New Madrid, MO",,New Apprentices,5,13.014,12.3
FY 2024,MO,Missouri,Christian County,Christian,"Christian, MO",,New Apprentices,4,14,14
FY 2024,MO,Missouri,Stoddard County,Stoddard,"Stoddard, MO",,New Apprentices,3,13.33333333,12.5
FY 2024,MO,Missouri,Ralls County,Ralls,"Ralls, MO",,New Apprentices,3,20.66333333,21.02
FY 2024,MO,Missouri,Pike County,Pike,"Pike, MO",,New Apprentices,3,17.8,17.8
FY 2024,MO,Missouri,Macon County,Macon,"Macon, MO",,New Apprentices,3,16,16
FY 2024,MO,Missouri,Dallas County,Dallas,"Dallas, MO",,New Apprentices,3,15.25666667,14
FY 2024,MO,Missouri,Cass County,Cass,"Cass, MO",,New Apprentices,3,18.41,18
FY 2024,MO,Missouri,Barry County,Barry,"Barry, MO",,New Apprentices,3,12.3,12.3
FY 2024,MO,Missouri,Stone County,Stone,"Stone, MO",,New Apprentices,2,14.525,14.525
FY 2024,MO,Missouri,McDonald County,McDonald,"McDonald, MO",,New Apprentices,2,14,14
FY 2024,MO,Missouri,Madison County,Madison,"Madison, MO",,New Apprentices,2,25.22,25.22
FY 2024,MO,Missouri,Dent County,Dent,"Dent, MO",,New Apprentices,2,18.25,18.25
FY 2024,MO,Missouri,Pulaski County,Pulaski,"Pulaski, MO",,New Apprentices,1,20,20
FY 2024,MO,Missouri,Perry County,Perry,"Perry, MO",,New Apprentices,1,13,13
FY 2024,MO,Missouri,Audrain County,Audrain,"Audrain, MO",,New Apprentices,1,14,14
FY 2024,IN,Indiana,Marion County,Marion,"Marion, IN",,New Apprentices,3075,17.46474797,18.8
FY 2024,IN,Indiana,Porter County,Porter,"Porter, IN",,New Apprentices,2069,13.47970517,12.25
FY 2024,IN,Indiana,Lawrence County,Lawrence,"Lawrence, IN",,New Apprentices,1104,22.7314221,22.2
FY 2024,IN,Indiana,Floyd County,Floyd,"Floyd, IN",,New Apprentices,857,17.4415986,16.67
FY 2024,IN,Indiana,Johnson County,Johnson,"Johnson, IN",,New Apprentices,670,22.34231343,21.37
FY 2024,IN,Indiana,Lake County,Lake,"Lake, IN",,New Apprentices,624,22.60262821,23.38
FY 2024,IN,Indiana,Warrick County,Warrick,"Warrick, IN",,New Apprentices,396,21.12015152,20.64
FY 2024,IN,Indiana,Vanderburgh County,Vanderburgh,"Vanderburgh, IN",,New Apprentices,332,22.30427711,21.91
FY 2024,IN,Indiana,Allen County,Allen,"Allen, IN",,New Apprentices,288,20.91975694,20.78
FY 2024,IN,Indiana,Kosciusko County,Kosciusko,"Kosciusko, IN",,New Apprentices,268,20.62462687,19.87
FY 2024,IN,Indiana,Vigo County,Vigo,"Vigo, IN",,New Apprentices,249,21.99742972,22.72
FY 2024,IN,Indiana,Tippecanoe County,Tippecanoe,"Tippecanoe, IN",,New Apprentices,209,22.11933014,20.99
FY 2024,IN,Indiana,St. Joseph County,St. Joseph,"St. Joseph, IN",,New Apprentices,188,21.0462234,19.35
FY 2024,IN,Indiana,Hamilton County,Hamilton,"Hamilton, IN",,New Apprentices,134,20.38619403,19
FY 2024,IN,Indiana,Elkhart County,Elkhart,"Elkhart, IN",,New Apprentices,126,18.10285714,19.875
FY 2024,IN,Indiana,Madison County,Madison,"Madison, IN",,New Apprentices,120,30.50966667,32.07
FY 2024,IN,Indiana,,,", IN",,New Apprentices,111,,0.12
FY 2024,IN,Indiana,Cass County,Cass,"Cass, IN",,New Apprentices,78,20.89102564,20
FY 2024,IN,Indiana,Howard County,Howard,"Howard, IN",,New Apprentices,77,21.21441558,20
FY 2024,IN,Indiana,Vermillion County,Vermillion,"Vermillion, IN",,New Apprentices,72,23.89291667,24.05
FY 2024,IN,Indiana,Sullivan County,Sullivan,"Sullivan, IN",,New Apprentices,68,,22
FY 2024,IN,Indiana,LaPorte County,LaPorte,"LaPorte, IN",,New Apprentices,55,17.02690909,15
FY 2024,IN,Indiana,Hendricks County,Hendricks,"Hendricks, IN",,New Apprentices,53,20.31773585,19
FY 2024,IN,Indiana,Bartholomew County,Bartholomew,"Bartholomew, IN",,New Apprentices,47,21.84042553,24
FY 2024,IN,Indiana,Hancock County,Hancock,"Hancock, IN",,New Apprentices,41,13.85317073,12.5
FY 2024,IN,Indiana,Posey County,Posey,"Posey, IN",,New Apprentices,38,24.40526316,24.28
FY 2024,IN,Indiana,Dubois County,Dubois,"Dubois, IN",,New Apprentices,34,16.79411765,17
FY 2024,IN,Indiana,Delaware County,Delaware,"Delaware, IN",,New Apprentices,26,19.14307692,19.26
FY 2024,IN,Indiana,Steuben County,Steuben,"Steuben, IN",,New Apprentices,20,29.3845,31.22
FY 2024,IN,Indiana,Monroe County,Monroe,"Monroe, IN",,New Apprentices,20,19.8545,19.5
FY 2024,IN,Indiana,Shelby County,Shelby,"Shelby, IN",,New Apprentices,19,22.28947368,24
FY 2024,IN,Indiana,Henry County,Henry,"Henry, IN",,New Apprentices,16,17.4375,17.5
FY 2024,IN,Indiana,Wayne County,Wayne,"Wayne, IN",,New Apprentices,14,21.68285714,23.065
FY 2024,IN,Indiana,DeKalb County,DeKalb,"DeKalb, IN",,New Apprentices,14,21.45,23
FY 2024,IN,Indiana,Carroll County,Carroll,"Carroll, IN",,New Apprentices,13,27.42307692,28
FY 2024,IN,Indiana,Owen County,Owen,"Owen, IN",,New Apprentices,12,17.67083333,17.275
FY 2024,IN,Indiana,Spencer County,Spencer,"Spencer, IN",,New Apprentices,11,29.15,29.15
FY 2024,IN,Indiana,Huntington County,Huntington,"Huntington, IN",,New Apprentices,11,34.2,35.62
FY 2024,IN,Indiana,Boone County,Boone,"Boone, IN",,New Apprentices,11,27.44090909,28
FY 2024,IN,Indiana,Whitley County,Whitley,"Whitley, IN",,New Apprentices,10,21.8,20
FY 2024,IN,Indiana,Ripley County,Ripley,"Ripley, IN",,New Apprentices,10,22.186,19.5
FY 2024,IN,Indiana,Morgan County,Morgan,"Morgan, IN",,New Apprentices,10,21.612,21.5
FY 2024,IN,Indiana,Tipton County,Tipton,"Tipton, IN",,New Apprentices,9,18.85,18.85
FY 2024,IN,Indiana,Putnam County,Putnam,"Putnam, IN",,New Apprentices,8,19.06,19.16
FY 2024,IN,Indiana,Montgomery County,Montgomery,"Montgomery, IN",,New Apprentices,8,26.19125,23.075
FY 2024,IN,Indiana,Orange County,Orange,"Orange, IN",,New Apprentices,7,27.28571429,28.5
FY 2024,IN,Indiana,Jennings County,Jennings,"Jennings, IN",,New Apprentices,7,21.91428571,22
FY 2024,IN,Indiana,Knox County,Knox,"Knox, IN",,New Apprentices,5,23.542,18
FY 2024,IN,Indiana,Grant County,Grant,"Grant, IN",,New Apprentices,5,30.254,35.44
FY 2024,IN,Indiana,Perry County,Perry,"Perry, IN",,New Apprentices,4,23.12,20.315
FY 2024,IN,Indiana,Greene County,Greene,"Greene, IN",,New Apprentices,4,28.9375,27.54
FY 2024,IN,Indiana,Clay County,Clay,"Clay, IN",,New Apprentices,4,18.5,18.5
FY 2024,IN,Indiana,Wells County,Wells,"Wells, IN",,New Apprentices,3,24.40666667,20
FY 2024,IN,Indiana,Parke County,Parke,"Parke, IN",,New Apprentices,3,24.58666667,27.88
FY 2024,IN,Indiana,Jackson County,Jackson,"Jackson, IN",,New Apprentices,3,20.99,18
FY 2024,IN,Indiana,Fountain County,Fountain,"Fountain, IN",,New Apprentices,3,24.14,21.29
FY 2024,IN,Indiana,Clark County,Clark,"Clark, IN",,New Apprentices,3,24.26666667,30.4
FY 2024,IN,Indiana,Blackford County,Blackford,"Blackford, IN",,New Apprentices,3,19.66666667,20
FY 2024,IN,Indiana,White County,White,"White, IN",,New Apprentices,2,23.715,23.715
FY 2024,IN,Indiana,Rush County,Rush,"Rush, IN",,New Apprentices,2,28.77,28.77
FY 2024,IN,Indiana,Noble County,Noble,"Noble, IN",,New Apprentices,2,18.5,18.5
FY 2024,IN,Indiana,Miami County,Miami,"Miami, IN",,New Apprentices,2,22.665,22.665
FY 2024,IN,Indiana,LaGrange County,LaGrange,"LaGrange, IN",,New Apprentices,2,20.61,20.61
FY 2024,IN,Indiana,Jasper County,Jasper,"Jasper, IN",,New Apprentices,2,24,24
FY 2024,IN,Indiana,Gibson County,Gibson,"Gibson, IN",,New Apprentices,2,12.75,12.75
FY 2024,IN,Indiana,Fulton County,Fulton,"Fulton, IN",,New Apprentices,2,26.57,26.57
FY 2024,IN,Indiana,Brown County,Brown,"Brown, IN",,New Apprentices,2,15.75,15.75
FY 2024,IN,Indiana,Benton County,Benton,"Benton, IN",,New Apprentices,2,15,15
FY 2024,IN,Indiana,Adams County,Adams,"Adams, IN",,New Apprentices,2,16,16
FY 2024,IN,Indiana,Union County,Union,"Union, IN",,New Apprentices,1,20.5,20.5
FY 2024,IN,Indiana,Martin County,Martin,"Martin, IN",,New Apprentices,1,28.51,28.51
FY 2024,IN,Indiana,Marshall County,Marshall,"Marshall, IN",,New Apprentices,1,25,25
FY 2024,IN,Indiana,Harrison County,Harrison,"Harrison, IN",,New Apprentices,1,28.82,28.82
FY 2024,IN,Indiana,Fayette County,Fayette,"Fayette, IN",,New Apprentices,1,17,17
FY 2024,IN,Indiana,Dearborn County,Dearborn,"Dearborn, IN",,New Apprentices,1,14,14
FY 2024,IN,Indiana,Daviess County,Daviess,"Daviess, IN",,New Apprentices,1,7.25,7.25
FY 2024,IN,Indiana,Clinton County,Clinton,"Clinton, IN",,New Apprentices,1,20,20
FY 2024,OH,Ohio,Franklin County,Franklin,"Franklin, OH",,New Apprentices,4686,20.16318776,15.425
FY 2024,OH,Ohio,Clark County,Clark,"Clark, OH",,New Apprentices,1071,24.04981326,25.81
FY 2024,OH,Ohio,Cuyahoga County,Cuyahoga,"Cuyahoga, OH",,New Apprentices,1058,20.55793951,20.41
FY 2024,OH,Ohio,Hamilton County,Hamilton,"Hamilton, OH",,New Apprentices,812,18.90447044,18.27
FY 2024,OH,Ohio,Summit County,Summit,"Summit, OH",,New Apprentices,665,22.78372742,21.64
FY 2024,OH,Ohio,Montgomery County,Montgomery,"Montgomery, OH",,New Apprentices,431,18.3350348,18.5
FY 2024,OH,Ohio,Wood County,Wood,"Wood, OH",,New Apprentices,381,20.04981627,19.81
FY 2024,OH,Ohio,Butler County,Butler,"Butler, OH",,New Apprentices,266,21.89236842,20.67
FY 2024,OH,Ohio,Licking County,Licking,"Licking, OH",,New Apprentices,257,21.11470817,19.8
FY 2024,OH,Ohio,Warren County,Warren,"Warren, OH",,New Apprentices,213,22.74276995,20
FY 2024,OH,Ohio,Stark County,Stark,"Stark, OH",,New Apprentices,185,19.62994595,20.38
FY 2024,OH,Ohio,Lorain County,Lorain,"Lorain, OH",,New Apprentices,172,21.58825581,21.75
FY 2024,OH,Ohio,Allen County,Allen,"Allen, OH",,New Apprentices,170,17.50823529,17
FY 2024,OH,Ohio,Lucas County,Lucas,"Lucas, OH",,New Apprentices,157,23.32872611,21.45
FY 2024,OH,Ohio,Fairfield County,Fairfield,"Fairfield, OH",,New Apprentices,134,25.09850746,22.71
FY 2024,OH,Ohio,Miami County,Miami,"Miami, OH",,New Apprentices,91,21.0056044,20.46
FY 2024,OH,Ohio,Mahoning County,Mahoning,"Mahoning, OH",,New Apprentices,82,17.39121951,16
FY 2024,OH,Ohio,Scioto County,Scioto,"Scioto, OH",,New Apprentices,73,19.50835616,18.5
FY 2024,OH,Ohio,Wyandot County,Wyandot,"Wyandot, OH",,New Apprentices,65,20,20
FY 2024,OH,Ohio,Clermont County,Clermont,"Clermont, OH",,New Apprentices,60,20.54316667,19.94
FY 2024,OH,Ohio,Trumbull County,Trumbull,"Trumbull, OH",,New Apprentices,45,22.54688889,22.22
FY 2024,OH,Ohio,Washington County,Washington,"Washington, OH",,New Apprentices,37,16.56243243,16
FY 2024,OH,Ohio,Wayne County,Wayne,"Wayne, OH",,New Apprentices,33,18.32272727,16
FY 2024,OH,Ohio,Richland County,Richland,"Richland, OH",,New Apprentices,33,17.90606061,17.65
FY 2024,OH,Ohio,Lake County,Lake,"Lake, OH",,New Apprentices,33,19.07212121,19
FY 2024,OH,Ohio,Geauga County,Geauga,"Geauga, OH",,New Apprentices,33,19.92181818,20
FY 2024,OH,Ohio,Medina County,Medina,"Medina, OH",,New Apprentices,28,20.07321429,20
FY 2024,OH,Ohio,Athens County,Athens,"Athens, OH",,New Apprentices,28,19.85035714,19.89
FY 2024,OH,Ohio,Guernsey County,Guernsey,"Guernsey, OH",,New Apprentices,26,26.04,26.04
FY 2024,OH,Ohio,Huron County,Huron,"Huron, OH",,New Apprentices,25,20.96,19.35
FY 2024,OH,Ohio,Jefferson County,Jefferson,"Jefferson, OH",,New Apprentices,24,16.36541667,14.88
FY 2024,OH,Ohio,Muskingum County,Muskingum,"Muskingum, OH",,New Apprentices,23,31.0026087,32.96
FY 2024,OH,Ohio,Marion County,Marion,"Marion, OH",,New Apprentices,23,27.31173913,31.58
FY 2024,OH,Ohio,Fulton County,Fulton,"Fulton, OH",,New Apprentices,20,22.5465,22.75
FY 2024,OH,Ohio,Hancock County,Hancock,"Hancock, OH",,New Apprentices,16,27.29375,27.45
FY 2024,OH,Ohio,Williams County,Williams,"Williams, OH",,New Apprentices,14,16.85714286,17.5
FY 2024,OH,Ohio,Portage County,Portage,"Portage, OH",,New Apprentices,12,23.94666667,22.58
FY 2024,OH,Ohio,Knox County,Knox,"Knox, OH",,New Apprentices,10,20.954,21
